population,minimum_age,maximum_age,gender,zipcode,geo_id
10,20.0,20.0,male,99553,8600000US99553
46,0.0,4.0,male,2462,8600000US02462
2629,40.0,44.0,male,92805,8600000US92805
13,75.0,79.0,female,38224,8600000US38224
98,62.0,64.0,female,37034,8600000US37034
13,30.0,34.0,female,50275,8600000US50275
196,62.0,64.0,female,90755,8600000US90755
16,60.0,61.0,male,42234,8600000US42234
2364,0.0,4.0,male,30281,8600000US30281
1455,55.0,59.0,female,94901,8600000US94901
127,65.0,66.0,male,43211,8600000US43211
19,18.0,19.0,male,93921,8600000US93921
131,20.0,20.0,male,29527,8600000US29527
78,70.0,74.0,male,12526,8600000US12526
1,21.0,21.0,female,53553,8600000US53553
318,35.0,39.0,male,89419,8600000US89419
137,70.0,74.0,female,27557,8600000US27557
238,35.0,39.0,male,74044,8600000US74044
23,80.0,84.0,male,73759,8600000US73759
486,22.0,24.0,female,77016,8600000US77016
14,18.0,19.0,female,55949,8600000US55949
31,30.0,34.0,male,89439,8600000US89439
831,40.0,44.0,female,63118,8600000US63118
4,35.0,39.0,male,15680,8600000US15680
154,65.0,66.0,male,2421,8600000US02421
386,62.0,64.0,male,28037,8600000US28037
76,22.0,24.0,female,37755,8600000US37755
14,20.0,20.0,male,78419,8600000US78419
358,50.0,54.0,female,16226,8600000US16226
9,65.0,66.0,female,71030,8600000US71030
1635,25.0,29.0,male,46360,8600000US46360
232,30.0,34.0,male,50273,8600000US50273
1753,25.0,29.0,male,80015,8600000US80015
4,35.0,39.0,female,23691,8600000US23691
19,30.0,34.0,male,99682,8600000US99682
20,67.0,69.0,female,53826,8600000US53826
10,85.0,nan,male,14422,8600000US14422
44,80.0,84.0,male,57013,8600000US57013
404,15.0,17.0,female,11798,8600000US11798
99,25.0,29.0,female,62285,8600000US62285
5,20.0,20.0,male,54177,8600000US54177
21573,nan,nan,female,32907,8600000US32907
6,55.0,59.0,female,49918,8600000US49918
42,67.0,69.0,female,25921,8600000US25921
112,0.0,4.0,male,7027,8600000US07027
481,70.0,74.0,female,98387,8600000US98387
200,25.0,29.0,female,23009,8600000US23009
75,10.0,14.0,female,27242,8600000US27242
335,60.0,61.0,female,29745,8600000US29745
1,20.0,20.0,female,29493,8600000US29493
11,15.0,17.0,female,84539,8600000US84539
438,0.0,4.0,male,71351,8600000US71351
344,67.0,69.0,male,30253,8600000US30253
9,85.0,nan,male,71039,8600000US71039
114,85.0,nan,female,55767,8600000US55767
8,70.0,74.0,male,49822,8600000US49822
4,85.0,nan,female,81221,8600000US81221
36,85.0,nan,male,2322,8600000US02322
812,nan,nan,male,54541,8600000US54541
175,22.0,24.0,male,29369,8600000US29369
15,65.0,66.0,female,67154,8600000US67154
402,40.0,44.0,male,90014,8600000US90014
324,45.0,49.0,female,911,8600000US00911
493,60.0,61.0,male,32712,8600000US32712
5,40.0,44.0,male,76565,8600000US76565
12,21.0,21.0,male,42461,8600000US42461
2080,50.0,54.0,female,92886,8600000US92886
27,18.0,19.0,male,76270,8600000US76270
3,18.0,19.0,female,49728,8600000US49728
579,5.0,9.0,female,76006,8600000US76006
119,15.0,17.0,female,27809,8600000US27809
21,67.0,69.0,male,60966,8600000US60966
80,nan,nan,male,35766,8600000US35766
1006,50.0,54.0,male,95531,8600000US95531
15,80.0,84.0,male,1368,8600000US01368
3,21.0,21.0,female,53570,8600000US53570
1693,30.0,34.0,male,75214,8600000US75214
155,55.0,59.0,female,35619,8600000US35619
2051,30.0,34.0,male,78045,8600000US78045
309,nan,nan,nan,67568,8600000US67568
18,65.0,66.0,male,7606,8600000US07606
53,85.0,nan,female,7423,8600000US07423
168,22.0,24.0,male,34105,8600000US34105
52,62.0,64.0,female,83313,8600000US83313
101,5.0,9.0,female,61753,8600000US61753
640,45.0,49.0,female,2382,8600000US02382
77,10.0,14.0,male,51521,8600000US51521
30,18.0,19.0,female,46747,8600000US46747
6811,nan,nan,male,50219,8600000US50219
24,22.0,24.0,male,19930,8600000US19930
397,50.0,54.0,female,95119,8600000US95119
44,85.0,nan,female,54433,8600000US54433
2112,nan,nan,male,76527,8600000US76527
147,20.0,20.0,female,33860,8600000US33860
111,10.0,14.0,female,37306,8600000US37306
40,80.0,84.0,male,61846,8600000US61846
331,35.0,39.0,female,8093,8600000US08093
17,40.0,44.0,female,62282,8600000US62282
1175,55.0,59.0,male,48307,8600000US48307
1,21.0,21.0,female,89414,8600000US89414
45,30.0,34.0,male,47990,8600000US47990
15,62.0,64.0,male,13469,8600000US13469
15,0.0,4.0,male,36555,8600000US36555
826,50.0,54.0,female,75460,8600000US75460
